date,county,state,fips,cases,deaths
2020-02-04,BOGOTA,BOGOTA,11001,1,0
2020-03-06,BOGOTA,BOGOTA,11001,1,0
2020-03-09,BUGA,VALLE,76111,1,0
2020-03-09,MEDELLIN,ANTIOQUIA,5001,1,0
2020-03-11,BOGOTA,BOGOTA,11001,2,0
2020-03-11,CARTAGENA,CARTAGENA,13001,1,0
2020-03-11,ITAGUI,ANTIOQUIA,5360,1,0
2020-03-11,MEDELLIN,ANTIOQUIA,5001,2,0
2020-03-12,BOGOTA,BOGOTA,11001,2,0
2020-03-12,NEIVA,HUILA,41001,2,0
2020-03-13,BOGOTA,BOGOTA,11001,1,0
2020-03-13,CALI,VALLE,76001,1,0
2020-03-13,MANIZALES,CALDAS,17001,1,0
2020-03-13,PALMIRA,VALLE,76520,1,0
2020-03-13,VILLAVICENCIO,META,50001,1,0
2020-03-14,BOGOTA,BOGOTA,11001,10,0
2020-03-14,DOSQUEBRADAS,RISARALDA,66170,1,0
2020-03-14,MEDELLIN,ANTIOQUIA,5001,2,0
2020-03-14,NEIVA,HUILA,41001,1,0
2020-03-14,RIONEGRO,ANTIOQUIA,5615,1,0
2020-03-15,BOGOTA,BOGOTA,11001,10,0
2020-03-15,BUCARAMANGA,SANTANDER,68001,1,0
2020-03-15,CARTAGENA,CARTAGENA,13001,2,0
2020-03-15,CUCUTA,NORTE SANTANDER,54001,1,0
2020-03-15,MEDELLIN,ANTIOQUIA,5001,1,0
2020-03-15,NEIVA,HUILA,41001,4,0
2020-03-15,SUBACHOQUE,CUNDINAMARCA,25769,1,0
2020-03-16,BARRANQUILLA,BARRANQUILLA,8001,2,0
2020-03-16,BOGOTA,BOGOTA,11001,6,0
2020-03-16,CALI,VALLE,76001,2,0
2020-03-16,CARTAGENA,CARTAGENA,13001,2,1
2020-03-16,FLORIDABLANCA,SANTANDER,68276,1,0
2020-03-16,SOACHA,CUNDINAMARCA,25754,1,0
2020-03-17,ARMENIA,QUINDIO,63001,2,0
2020-03-17,BOGOTA,BOGOTA,11001,7,0
2020-03-17,CAJICA,CUNDINAMARCA,25126,2,0
2020-03-17,CALI,VALLE,76001,5,0
2020-03-17,CARTAGENA,CARTAGENA,13001,1,0
2020-03-17,CUCUTA,NORTE SANTANDER,54001,2,0
2020-03-17,IBAGUE,TOLIMA,73001,1,0
2020-03-17,NEIVA,HUILA,41001,1,0
2020-03-17,PALMIRA,VALLE,76520,3,0
2020-03-17,PEREIRA,RISARALDA,66001,1,0
2020-03-18,BOGOTA,BOGOTA,11001,5,0
2020-03-18,CARTAGENA,CARTAGENA,13001,3,0
2020-03-18,DOSQUEBRADAS,RISARALDA,66170,1,0
2020-03-18,IBAGUE,TOLIMA,73001,1,0
2020-03-18,PEREIRA,RISARALDA,66001,2,0
2020-03-19,ARMENIA,QUINDIO,63001,1,0
2020-03-19,BARRANQUILLA,BARRANQUILLA,8001,3,0
2020-03-19,BOGOTA,BOGOTA,11001,8,0
2020-03-19,BUCARAMANGA,SANTANDER,68001,1,0
2020-03-19,CARTAGENA,CARTAGENA,13001,1,0
2020-03-19,CUCUTA,NORTE SANTANDER,54001,3,0
2020-03-19,MEDELLIN,ANTIOQUIA,5001,3,0
2020-03-19,NEIVA,HUILA,41001,1,0
2020-03-19,PALMIRA,VALLE,76520,1,0
2020-03-19,POPAYAN,CAUCA,19001,2,0
2020-03-19,SOACHA,CUNDINAMARCA,25754,1,0
2020-03-19,VITERBO,CALDAS,17877,1,0
2020-03-20,ANAPOIMA,CUNDINAMARCA,25035,1,0
2020-03-20,BOGOTA,BOGOTA,11001,27,2
2020-03-20,CALI,VALLE,76001,1,0
2020-03-20,CARTAGENA,CARTAGENA,13001,1,0
2020-03-20,CHIA,CUNDINAMARCA,25175,1,0
2020-03-20,ENVIGADO,ANTIOQUIA,5266,2,0
2020-03-20,LA ESTRELLA,ANTIOQUIA,5380,1,0
2020-03-20,MADRID,CUNDINAMARCA,25430,1,0
2020-03-20,MEDELLIN,ANTIOQUIA,5001,7,0
2020-03-20,PEREIRA,RISARALDA,66001,1,0
2020-03-20,RIONEGRO,ANTIOQUIA,5615,1,0
2020-03-20,SANTA MARTA,STA MARTA D.E.,47001,2,1
2020-03-20,SOACHA,CUNDINAMARCA,25754,2,0
2020-03-21,BARRANQUILLA,BARRANQUILLA,8001,2,0
2020-03-21,BELLO,ANTIOQUIA,5088,1,0
2020-03-21,BOGOTA,BOGOTA,11001,5,0
2020-03-21,CALI,VALLE,76001,6,0
2020-03-21,CARTAGENA,CARTAGENA,13001,4,0
2020-03-21,CARTAGO,VALLE,76147,1,0
2020-03-21,CHIA,CUNDINAMARCA,25175,1,0
2020-03-21,CUCUTA,NORTE SANTANDER,54001,1,0
2020-03-21,GUARNE,ANTIOQUIA,5318,1,0
2020-03-21,IBAGUE,TOLIMA,73001,1,0
2020-03-21,MANIZALES,CALDAS,17001,1,0
2020-03-21,MEDELLIN,ANTIOQUIA,5001,1,0
2020-03-21,NEIVA,HUILA,41001,1,0
2020-03-21,PALMIRA,VALLE,76520,4,0
2020-03-21,PEREIRA,RISARALDA,66001,1,0
2020-03-21,SOACHA,CUNDINAMARCA,25754,1,0
2020-03-21,VILLA DEL ROSARIO,NORTE SANTANDER,54874,1,0
2020-03-21,YUMBO,VALLE,76892,1,1
2020-03-22,ARMENIA,QUINDIO,63001,2,0
2020-03-22,BELLO,ANTIOQUIA,5088,1,0
2020-03-22,BOGOTA,BOGOTA,11001,4,1
2020-03-22,CALARCA,QUINDIO,63130,1,0
2020-03-22,CALI,VALLE,76001,4,0
2020-03-22,CHINCHINA,CALDAS,17174,2,0
2020-03-22,DOSQUEBRADAS,RISARALDA,66170,3,0
2020-03-22,GUATAPE,ANTIOQUIA,5321,1,0
2020-03-22,IBAGUE,TOLIMA,73001,1,0
2020-03-22,LA DORADA,CALDAS,17380,1,0
2020-03-22,MEDELLIN,ANTIOQUIA,5001,2,0
2020-03-22,PEREIRA,RISARALDA,66001,2,0
2020-03-22,RIONEGRO,ANTIOQUIA,5615,1,0
2020-03-22,SAN ANDRES,SAN ANDRES,88001,1,0
2020-03-22,VALLEDUPAR,CESAR,20001,1,0
2020-03-22,YOPAL,CASANARE,85001,1,0
2020-03-22,YUMBO,VALLE,76892,1,0
2020-03-23,APARTADO,ANTIOQUIA,5045,1,0
2020-03-23,ARMENIA,QUINDIO,63001,1,0
2020-03-23,BOGOTA,BOGOTA,11001,29,2
2020-03-23,BUCARAMANGA,SANTANDER,68001,1,0
2020-03-23,CACERES,ANTIOQUIA,5120,1,0
2020-03-23,CAJICA,CUNDINAMARCA,25126,1,0
2020-03-23,CALI,VALLE,76001,3,1
2020-03-23,CARTAGENA,CARTAGENA,13001,1,0
2020-03-23,CHIA,CUNDINAMARCA,25175,1,0
2020-03-23,COTA,CUNDINAMARCA,25214,1,0
2020-03-23,DOSQUEBRADAS,RISARALDA,66170,1,0
2020-03-23,ENVIGADO,ANTIOQUIA,5266,2,0
2020-03-23,ITAGUI,ANTIOQUIA,5360,1,0
2020-03-23,MEDELLIN,ANTIOQUIA,5001,13,0
2020-03-23,NEIVA,HUILA,41001,1,1
2020-03-23,PACHO,CUNDINAMARCA,25513,1,0
2020-03-23,PALMIRA,VALLE,76520,2,0
2020-03-23,RETIRO,ANTIOQUIA,5607,1,0
2020-03-23,RIONEGRO,ANTIOQUIA,5615,1,0
2020-03-23,SABANETA,ANTIOQUIA,5631,2,0
2020-03-23,SANTA MARTA,STA MARTA D.E.,47001,1,0
2020-03-23,SOACHA,CUNDINAMARCA,25754,1,0
2020-03-23,TRUJILLO,VALLE,76828,1,0
2020-03-23,VILLAMARIA,CALDAS,17873,1,0
2020-03-23,VILLAVICENCIO,META,50001,4,0
2020-03-24,ANAPOIMA,CUNDINAMARCA,25035,1,0
2020-03-24,ARMENIA,QUINDIO,63001,1,0
2020-03-24,BARRANQUILLA,BARRANQUILLA,8001,2,0
2020-03-24,BOGOTA,BOGOTA,11001,41,2
2020-03-24,CALI,VALLE,76001,23,0
2020-03-24,CARTAGENA,CARTAGENA,13001,5,0
2020-03-24,CARTAGO,VALLE,76147,1,0
2020-03-24,CUCUTA,NORTE SANTANDER,54001,2,0
2020-03-24,DARIEN,VALLE,76126,1,0
2020-03-24,FUNZA,CUNDINAMARCA,25286,1,0
2020-03-24,FUSAGASUGA,CUNDINAMARCA,25290,1,0
2020-03-24,IBAGUE,TOLIMA,73001,4,0
2020-03-24,IPIALES,NARIÃ‘O,52356,1,1
2020-03-24,LA CALERA,CUNDINAMARCA,25377,1,0
2020-03-24,LA UNION,VALLE,76400,1,0
2020-03-24,LOS PATIOS,NORTE SANTANDER,54405,1,0
2020-03-24,MANIZALES,CALDAS,17001,1,0
2020-03-24,MOSQUERA,CUNDINAMARCA,25473,1,0
2020-03-24,NEIVA,HUILA,41001,2,0
2020-03-24,PALERMO,HUILA,41524,1,0
2020-03-24,PEREIRA,RISARALDA,66001,3,1
2020-03-24,POPAYAN,CAUCA,19001,1,0
2020-03-24,SAN PEDRO,VALLE,76670,1,0
2020-03-24,TULUA,VALLE,76834,2,0
2020-03-24,VALLEDUPAR,CESAR,20001,1,0
2020-03-24,VILLAVICENCIO,META,50001,2,0
2020-03-24,VILLETA,CUNDINAMARCA,25875,2,0
2020-03-24,VITERBO,CALDAS,17877,1,0
2020-03-25,ARMENIA,QUINDIO,63001,4,0
2020-03-25,BARRANQUILLA,BARRANQUILLA,8001,3,0
2020-03-25,BELLO,ANTIOQUIA,5088,1,0
2020-03-25,BOGOTA,BOGOTA,11001,14,0
2020-03-25,CALI,VALLE,76001,1,0
2020-03-25,CARTAGENA,CARTAGENA,13001,5,0
2020-03-25,COTA,CUNDINAMARCA,25214,1,0
2020-03-25,CUCUTA,NORTE SANTANDER,54001,4,0
2020-03-25,EL DOVIO,VALLE,76250,1,0
2020-03-25,FRONTINO,ANTIOQUIA,5284,1,0
2020-03-25,IBAGUE,TOLIMA,73001,1,0
2020-03-25,LA DORADA,CALDAS,17380,1,0
2020-03-25,MADRID,CUNDINAMARCA,25430,1,0
2020-03-25,MANIZALES,CALDAS,17001,1,0
2020-03-25,MEDELLIN,ANTIOQUIA,5001,6,0
2020-03-25,PALMIRA,VALLE,76520,2,0
2020-03-25,PEREIRA,RISARALDA,66001,2,0
2020-03-25,POPAYAN,CAUCA,19001,6,0
2020-03-25,SANTA MARTA,STA MARTA D.E.,47001,1,0
2020-03-25,SANTANA,BOYACA,15686,1,0
2020-03-25,SOACHA,CUNDINAMARCA,25754,1,0
2020-03-25,SOLEDAD,ATLANTICO,8758,1,0
2020-03-25,TULUA,VALLE,76834,1,1
2020-03-25,VILLAVICENCIO,META,50001,1,0
2020-03-26,BOGOTA,BOGOTA,11001,7,1
2020-03-26,CALI,VALLE,76001,2,0
2020-03-26,TUNJA,BOYACA,15001,1,0
2020-03-27,ARMENIA,QUINDIO,63001,2,0
2020-03-27,BARRANQUILLA,BARRANQUILLA,8001,1,1
2020-03-27,BOGOTA,BOGOTA,11001,38,2
2020-03-27,CALARCA,QUINDIO,63130,1,0
2020-03-27,MANIZALES,CALDAS,17001,1,0
2020-03-27,PUERTO COLOMBIA,ATLANTICO,8573,1,0
2020-03-27,SANTA MARTA,STA MARTA D.E.,47001,3,0
2020-03-27,SOLEDAD,ATLANTICO,8758,1,1
2020-03-27,TOCANCIPA,CUNDINAMARCA,25817,1,0
2020-03-28,BARRANQUILLA,BARRANQUILLA,8001,3,0
2020-03-28,BOGOTA,BOGOTA,11001,38,3
2020-03-28,CALI,VALLE,76001,8,1
2020-03-28,CARTAGENA,CARTAGENA,13001,1,0
2020-03-28,CARTAGO,VALLE,76147,1,0
2020-03-28,CHINCHINA,CALDAS,17174,1,0
2020-03-28,MEDELLIN,ANTIOQUIA,5001,4,0
2020-03-28,MONTEBELLO,ANTIOQUIA,5467,1,0
2020-03-28,MONTENEGRO,QUINDIO,63470,1,0
2020-03-28,MOSQUERA,CUNDINAMARCA,25473,1,0
2020-03-28,PALMIRA,VALLE,76520,2,0
2020-03-28,PASTO,NARIÃ‘O,52001,1,0
2020-03-28,POLO NUEVO,ATLANTICO,8558,1,0
2020-03-28,SABANETA,ANTIOQUIA,5631,1,0
2020-03-28,SAHAGUN,CORDOBA,23660,1,0
2020-03-28,SANTA ROSA DE OSOS,ANTIOQUIA,5686,1,0
2020-03-28,TURBACO,BOLIVAR,13836,1,0
2020-03-28,VALLEDUPAR,CESAR,20001,1,0
2020-03-28,VILLAPINZON,CUNDINAMARCA,25873,1,1
2020-03-29,ARJONA,BOLIVAR,13052,2,0
2020-03-29,BARRANQUILLA,BARRANQUILLA,8001,4,0
2020-03-29,BELLO,ANTIOQUIA,5088,3,0
2020-03-29,BOGOTA,BOGOTA,11001,33,0
2020-03-29,BUCARAMANGA,SANTANDER,68001,3,0
2020-03-29,CALI,VALLE,76001,7,1
2020-03-29,CARTAGENA,CARTAGENA,13001,8,1
2020-03-29,DOSQUEBRADAS,RISARALDA,66170,2,0
2020-03-29,ENVIGADO,ANTIOQUIA,5266,5,0
2020-03-29,FLORIDABLANCA,SANTANDER,68276,1,0
2020-03-29,LA CEJA,ANTIOQUIA,5376,1,0
2020-03-29,MEDELLIN,ANTIOQUIA,5001,8,0
2020-03-29,MONTERIA,CORDOBA,23001,1,0
2020-03-29,NEIVA,HUILA,41001,2,0
2020-03-29,OICATA,BOYACA,15500,1,0
2020-03-29,PALMIRA,VALLE,76520,1,0
2020-03-29,PEREIRA,RISARALDA,66001,8,0
2020-03-29,RIONEGRO,ANTIOQUIA,5615,1,0
2020-03-29,SAN FRANCISCO,ANTIOQUIA,5652,1,1
2020-03-29,SINCELEJO,SUCRE,70001,1,0
2020-03-29,VALLEDUPAR,CESAR,20001,1,0
