"id" "rend"
"05440" 27
"15879" 4
"15759" 6
"18205" 3
"19807" 4
"19364" 0.5
"25175" 25
"25754" 11
"25214" 20
"25126" 18
"25799" 18
"52838" 1.5
"54405" 16
"76001" 4
"76890" 0.5
"05440" 28.1
"15879" 4
"15759" 6
"19807" 4.3
"19364" 0.7
"25175" 25
"25754" 11
"25214" 20
"25126" 18
"25799" 18
"52838" 1.5
"54405" 16
"76001" 4
"76890" 0.5
"27250" 10
"27050" 8
"27001" 8
"27150" 8.2
"27600" 5
"27491" 7
"27075" 11.22
"27580" 10
"27425" 5
"27450" 10
"27135" 6.4
"27160" 9.9
"27430" 10
"27495" 5
"27787" 4
"27413" 8
"27810" 8
"27600" 2
"27135" 2
"27450" 1
"27413" 1
"27745" 1.5
"27160" 0.94
"44001" 1
"19392" 1
"27745" 5
"41668" 2.2
"41359" 2
"41396" 2.2
"41306" 1.75
"41298" 2.2
"41244" 1.2
"41020" 1
"52378" 3
"52693" 3
"52019" 0.7
"52203" 2
"52694" 0.7
"52083" 0.7
"05686" 1.5
"05148" 5
"15600" 8
"15676" 1
"15774" 1
"25649" 4
"05847" 35.98
"05756" 15
"05679" 6
"05541" 12
"05674" 10.5
"05607" 20
"05002" 19
"05376" 8
"05318" 9
"05837" 10
"05368" 10
"05440" 7
"05697" 6
"05615" 10
"05411" 3
"05642" 12
"05030" 10
"05148" 20
"05313" 7.5
"05490" 20
"05045" 15
"05664" 10
"05854" 4.84
"05364" 12
"05467" 7
"05628" 4.96
"05093" 10
"05125" 7.5
"05789" 8
"05842" 5
"05055" 10
"05282" 6
"05004" 5
"05038" 12
"05361" 8
"05501" 2.9
"05761" 7.5
"05400" 8
"05042" 3.5
"05792" 6
"05001" 6
"05240" 2
"05044" 7.3
"05059" 3
"05873" 8
"05543" 1.5
"05036" 5
"05856" 12
"05686" 18
"05306" 4
"05321" 6.5
"05887" 5.2
"05264" 10
"05347" 3
"05861" 4.5
"05649" 3
"05142" 5
"05209" 15
"05483" 7.1
"05284" 6
"05086" 12
"05819" 6
"05129" 4
"05145" 10
"05647" 3
"05308" 5.5
"05079" 2.1
"05380" 7
"05237" 5
"05206" 3
"05809" 5.5
"05353" 6.2
"81794" 15.5
"81065" 15
